,Address,Lat,Lng
0,"6116 Rolling Road, SPRINGFIELD, VA 22152",38.784353,-77.2383374
1,"8416 Old Keene Mill Road, SPRINGFIELD, VA 22152",38.77991,-77.2360348
2,"6230-G Rolling Road, Springfield, VA 22152",38.780728,-77.2357313
3,"8601 JAMES CREEK DR, SPRINGFIELD, VA 22152",38.787979,-77.2413011
4,"5843 REXFORD DRIVE, SPRINGFIELD, VA 22152",38.7923658,-77.2365017
5,"6500 Westbury Oaks Ct, SPRINGFIELD, VA 22152",38.7739827,-77.2616312
6,"6347 Rolling Rd, SPRINGFIELD, VA 22152",38.778542,-77.2315289
7,"5925 Veranda Dr, Springfield, VA 22152",38.7891124,-77.2468241
8,"6381 ROLLING RD, SPRINGFIELD, VA 22152",38.7781389,-77.2321629
9,"8440 OLD KEENE MILL RD, SPRINGFIELD, VA 22152",38.7788938,-77.2370659
10,"6230 E Rolling Rd, Springfield, VA 22152",38.780728,-77.2357313
11,"8315 Old Keene Mill Rd., Springfield, VA 22152",38.7790999,-77.2317587
12,"8350 TRAFORD LN STE A, SPRINGFIELD, VA 22152",38.782119,-77.233435
13,"5900 PRINCE JAMES DR, SPRINGFIELD, VA 22152",38.7903667,-77.2289064
14,"7001 Sydenstricker Road, Springfield, VA 22152",38.7644538,-77.2453873
15,"8136 Old Keene Mill Road, Springfield, VA 22152",38.7811873,-77.2273577
16,"5921 VERANDA DR, SPRINGFIELD, VA 22152",38.7894794,-77.246869
17,"6639 SUMMER GRAPE CT, SPRINGFIELD, VA 22152",38.771516,-77.258453
18,"7004 GALGATE DR, SPRINGFIELD, VA 22152",38.7637696,-77.2421094
19,"5900 PRINCE JAMES DR, SPRINGFIELD, VA 22152",38.7903667,-77.2289064
20,"8200 OLD KEENE MILL RD, SPRINGFIELD, VA 22152",38.7812614,-77.2283906
21,"8324 OLD KEENE MILL ROAD, WEST SPRINGFIELD, VA 22152",38.7806746,-77.2326197
22,"6112 ROXBURY AVE, SPRINGFIELD, VA 22152",38.7860999,-77.2366759
23,"8136 Old Keene Mill Road, Springfield, VA 22152",38.7811873,-77.2273577
24,"8346 TRAFORD LN STE 7, SPRINGFIELD, VA 22152",38.7816933,-77.2326568
25,"8406 Old Keene Mill Rd, SPRINGFIELD, VA 22152",38.780015,-77.235201
26,"6214 Rolling Rd, Springfield, VA 22152",38.7822971,-77.2355135
27,"6230 ROLLING RD, SPRINGFIELD, VA 22152",38.780728,-77.2357313
28,"8634 Hillside Manor Drive, West Springfield, VA 22152",38.7781681,-77.2437034
29,"8306 Brixton Street, West Springfield, VA 22152",38.7737331,-77.2337009
30,"6116 ROLLING RD STE 304, SPRINGFIELD, VA 22152",38.7843422,-77.2383279
31,"6704 EMPORIA CT, SPRINGFIELD, VA 22152",38.7719992,-77.2243039
32,"8425 Forrester Blvd., Springfield, VA 22152",38.791508,-77.235725
33,"6703 Deland Ct, Springfield, VA 22152",38.7722761,-77.217904
34,"8315 BOTSFORD CT, SPRINGFIELD, VA 22152",38.7829072,-77.2329038
35,"8346 Traford Lane, SPRINGFIELD, VA 22152",38.7816933,-77.2326568
36,"6134 WILLOWICK LN, SPRINGFIELD, VA 22152",38.784518,-77.250156
37,"8400 OLD KEENE MILL ROAD, SPRINGFIELD, VA 22152",38.7793736,-77.2338693
38,"8344 TRAFORD LN, SPRINGFIELD, VA 22152",38.78207,-77.232804
39,"6317 MILLWOOD CT, SPRINGFIELD, VA 22152",38.777207,-77.235859
40,"8442 OLD KEENE MILL RD, SPRINGFIELD, VA 22152",38.7787961,-77.2373907
41,"7717 Solomon Seal Drive, West Springfield, VA 22152",38.7645457,-77.2123469
42,"8134 OLD KEENE MILL RD STE 202, SPRINGFIELD, VA 22152",38.7817414,-77.2265493
43,"8328 TRAFORD LN STE B, SPRINGFIELD, VA 22152",38.7824376,-77.2325355
44,"8316 TRAFORD LN STE B, SPRINGFIELD, VA 22152",38.7821885,-77.2320543
45,"6365 Rolling Mill Place, Springfield, VA 22152",38.778693,-77.2378273
46,"8303 KENWOOD AVE, SPRINGFIELD, VA 22152",38.7771232,-77.2330722
47,"8408 Old Keene mill rd, SPRINGFIELD, VA 22152",38.7799711,-77.2353849
48,"6823 BARNACK DR., SPRINGFIELD, VA 22152",38.7669721,-77.2305013
49,"8117 MARCY AVE, SPRINGFIELD, VA 22152",38.7709825,-77.2269311
50,"8432 Old Keene Mill Road, Springfield, VA 22152",38.779194,-77.235395
51,"6223 Greeley Boulevard, West Springfield, VA 22152",38.782081,-77.2181735
52,"5803 Rolling Road, Springfield, VA 22152",38.7945145,-77.2459831
53,"8145 EDMONTON CT, SPRINGFIELD, VA 22152",38.7670546,-77.2270658
54,"6116 ROLLING RD. SUITE 109, SPRINGFIELD, VA 22152",38.7844536,-77.2381357
55,"8264 Carrleigh Parkway, West Springfield, VA 22152",38.7879451,-77.2313932
56,"8607 JAMES CREEK DR, SPRINGFIELD, VA 22152",38.7884612,-77.2416603
57,"6000 Sweet Dale Court, Springfield, VA 22152",38.7865268,-77.2508198
58,"6209 Old Keene Mill Court, Springfield, VA 22152",38.7798299,-77.237745
59,"6219 TYNER ST, SPRINGFIELD, VA 22152",38.782353,-77.2177244
60,"6435 ALLOWAY CT, SPRINGFIELD, VA 22152",38.7737063,-77.2411888
61,"6228 A Rolling Rd, Springfield, VA 22152",38.7808599,-77.235825
62,"5913 VERANDA DR, SPRINGFIELD, VA 22152",38.789886,-77.2472731
63,"6116 ROLLING RD, SPRINGFIELD, VA 22152",38.784353,-77.2383374
64,"6352 Rolling Mill Place, Suite 102, SPRINGFIELD, VA 22152",38.7790231,-77.2381252
65,"8356A TRAFORD LN, SPRINGFIELD, VA 22152",38.7822403,-77.2334296
66,"8412 OLD KEENE MILL RD, SPRINGFIELD, VA 22152",38.7797688,-77.2351366
67,"6217 OLD KEENE MILL CT, SPRINGFIELD, VA 22152",38.7791716,-77.2375122
68,"8136 Old Keene Mill Road, West Springfield, VA 22152",38.7811873,-77.2273577
69,"6103 Kerkam Ct, SPRINGFIELD, VA 22152",38.7863476,-77.2280089
70,"6011 Roxbury Ave, Springfield, VA 22152",38.7877386,-77.2369454
71,"8759 CENTER RD, SPRINGFIELD, VA 22152",38.7802663,-77.2479466
72,"6106 GLEN OAKS CT, SPRINGFIELD, VA 22152",38.7859015,-77.2437932
73,"7002 VANCOUVER RD, SPRINGFIELD, VA 22152",38.7647594,-77.2275037
74,"8346 Traford Lane, SPRINGFIELD, VA 22152",38.7816933,-77.2326568
75,"6230 Rolling Road, SPRINGFIELD, VA 22152",38.780728,-77.2357313
76,"7860 ROLLING WOODS CT UNIT 404, SPRINGFIELD, VA 22152",38.761394,-77.215285
77,"6419 WAINFLEET CT, SPRINGFIELD, VA 22152",38.775933,-77.230395
78,"6817 Sydenstricker Rd, Springfield, VA 22152",38.7672046,-77.2553551
79,"6412 OLD SCOTTS CT, SPRINGFIELD, VA 22152",38.777333,-77.2548051
80,"6355 Rolling Road, Springfield, VA 22152",38.7782724,-77.2315315
81,"6347 Rolling Road , Springfield, VA, 22152, Springfield, VA 22152",38.778542,-77.2315289
82,"6345 ROLLING ROAD SUITE C, SPRINGFIELD, VA 22152",38.7785168,-77.2315791
83,"6704 RED JACKET RD, SPRINGFIELD, VA 22152",38.7700659,-77.2524816
84,"6357 Rolling Road, West Springfield, VA 22152",38.7781648,-77.2314322
85,"6349 ROLLING RD, SPRINGFIELD, VA 22152",38.7784705,-77.2315967
86,"8749 Center Road, Springfield, VA 22152",38.7806085,-77.247767
87,"DBA COSMO CLEANERS, SPRINGFIELD, VA 22152",38.7809737,-77.2314941
88,"8306 Brixton Street, West Springfield, VA 22152",38.7737331,-77.2337009
89,"6039 Sweet Oak Ct, Springfield, VA 22152",38.785053,-77.251317
90,"7903 JANSEN DR, SPRINGFIELD, VA 22152",38.7746405,-77.2170956
91,"8338 TRAFORD LN, SPRINGFIELD, VA 22152",38.782418,-77.232868
92,"8336 CARRLEIGH PKWY, SPRINGFIELD, VA 22152",38.7823596,-77.2306809
93,"8820 Moverly Court, West Springfield, VA 22152",38.7815107,-77.2497427
94,"7324 stream way, springfield, VA 22152",38.7595864,-77.2227507
