,Address,BusinessName,BusinessType,CD,City,DateApproved,Gender,JobsReported,Lender,LoanAmount,NAICSCode,NonProfit,RaceEthnicity,State,Veteran,Zip
873089,CALLE CORCHADA FINAL CPT,RICARDO RIEFKOHL,Self-Employed Individuals,PR-,CANOVANAS,5/1/2020,Unanswered,2,Banco Popular de Puerto Rico,25100,,,Unanswered,PR,Unanswered,729
224030,1333 BOSTON RD,PRIME PARTNERS LLC,Limited  Liability Company(LLC),MA-01,SPRINGFIELD,5/13/2020,Unanswered,1,New Valley Bank & Trust,12520.52,531390,,Unanswered,MA,Unanswered,22152
285488,706 QUAKER HWY,"UXBRIDGE CABINET CENTER, INC.",Corporation,MA-02,UXBRIDGE,4/13/2020,Unanswered,22,Savers Co-Operative Bank,220560,337110,,Unanswered,MA,Unanswered,1569
187251,263 W MAIN ST,4 P'S AUTO BODY  SHOP LLC,Limited  Liability Company(LLC),MA-01,DUDLEY,5/1/2020,Unanswered,3,"Bank of America, National Association",35350,811121,,Unanswered,MA,Unanswered,1571
176902,58 EDGEWOOD RD,"J-D HEATING AND AIR-CONDITIONING, INC.",Corporation,MA-05,WAYLAND,5/11/2020,Unanswered,3,Middlesex Savings Bank,50100,238220,,Unanswered,MA,Unanswered,1778
198734,34 Jennings Circle,MELOS CONSTRUCTION LLC,Limited  Liability Company(LLC),MA-06,Peabody,4/29/2020,Male Owned,3,Luso-American CU,23700,541330,,White,MA,Unanswered,1960
215920,378 CENTRE ST,"MASSIVE RESTAURANT GROUP, INC.",Corporation,MA-08,JAMAICA PLAIN,4/29/2020,Male Owned,4,Eastern Bank,16335,722511,,Unanswered,MA,Non-Veteran,2130
154350,945 GREAT PLAIN AVE,"SCAN PRO OF BOSTON, INC",Subchapter S Corporation,MA-04,NEEDHAM,4/8/2020,Unanswered,8,Dedham Institution for Savings,128700,238910,,Unanswered,MA,Unanswered,2492
167233,310 SOUTH ST UNIT 5,"THE PULSE GROUP USA,INC",Corporation,MA-04,PLAINVILLE,5/1/2020,Male Owned,9,"Bank of America, National Association",71785,713940,,Unanswered,MA,Non-Veteran,2762
882127,757 MAST RD,NH BIKESHOP LLC,Limited  Liability Company(LLC),NH-01,GOFFSTOWN,5/1/2020,Unanswered,0,"TD Bank, National Association",9100,451110,,Unanswered,NH,Unanswered,3045
328578,1170 forest ave,"ALMOST FAMOUS TATTOOS, INC.",Corporation,ME-01,PORTLAND,4/13/2020,Male Owned,5,KeyBank National Association,56437,711510,,White,ME,Non-Veteran,4103
349270,12 REDIMARKER LANE,F/V SUDDEN IMPACT,Sole Proprietorship,ME-02,ADDISON,4/28/2020,Unanswered,1,Machias Savings Bank,1626,114112,,Unanswered,ME,Unanswered,4606
831725,530 BUSHY HILL RD,"ZOO GYM SIMSBURY, LLC",Limited  Liability Company(LLC),CT-05,SIMSBURY,4/14/2020,Unanswered,30,Merrimack County Savings Bank,27600,713940,,Unanswered,CT,Unanswered,6070
819338,"360 gendron rd, unit 6","ACME CONTTRACTORS, INC.",Corporation,CT-02,plainfield,5/8/2020,Unanswered,8,"Santander Bank, National Association",63460.1,562910,,Unanswered,CT,Unanswered,6374
845772,262 West Town Street,"YANTIC AUTO CENTER, LLC",Limited  Liability Company(LLC),CT-02,YANTIC,4/27/2020,Unanswered,3,Centreville Bank,14812,441120,,Unanswered,CT,Unanswered,6389
120067,1020 LAKE DRIVE,TRASHION DOLLS LLC,Limited  Liability Company(LLC),NJ-05,FRANKLIN lAKES,6/26/2020,Unanswered,0,"TD Bank, National Association",511,316992,,Unanswered,NJ,Unanswered,7417
117598,240 Cheyenne Road,"BUSY PUPPY PRODUCTIONS, LLC",Limited  Liability Company(LLC),NJ-05,Lafayette,8/6/2020,Unanswered,1,"First Hope Bank, A National Banking Association",2042.5,512110,,Unanswered,NJ,Unanswered,7848
398509,316 WATER ST,H BARRON IRON WORKS INC,Corporation,NJ-01,GLOUCESTER CITY,5/1/2020,Unanswered,17,"Bank of America, National Association",233633,332312,,Unanswered,NJ,Unanswered,8030
278440,303 MERCER ST APT B601,"GEORGIA FOWLER, INC.",Subchapter S Corporation,NY-12,NEW YORK,4/29/2020,Unanswered,1,"JPMorgan Chase Bank, National Association",32930,711510,,Unanswered,NY,Unanswered,10003
470971,601W172 ND ST,DOMINGO URENA,Sole Proprietorship,NY-13,NEWYORK,5/8/2020,Unanswered,0,Celtic Bank Corporation,2083.16,485310,,Unanswered,NY,Unanswered,10032
215573,54 WEST 47TH STREET,TECHNAORO,Subchapter S Corporation,NY-12,NEW YORK,4/13/2020,Unanswered,7,Valley National Bank,76412,448310,,Unanswered,NY,Unanswered,10036
444151,741 E 215TH ST,"VITELLO SEWER, WATER MAIN, HEATING & PLUMBING SERVICES, INC.",Corporation,NY-16,BRONX,4/7/2020,Unanswered,33,Mahopac Bank,245700,238220,,Unanswered,NY,Unanswered,10467
349809,100 Elgar Place,AMY MASON,Self-Employed Individuals,NY-16,Bronx,7/30/2020,Unanswered,0,Cross River Bank,17857,721199,,Unanswered,NY,Unanswered,10475
366664,21 CONANT VALLEY RD,"RICHMAN REP GROUP,INC.",Corporation,NY-18,POUND RIDGE,5/1/2020,Unanswered,1,"Bank of America, National Association",15000,541611,,Unanswered,NY,Unanswered,10576
310292,68 Jay Street,"D.J. KELLNER, LLC",Self-Employed Individuals,NY-07,Brooklyn,4/28/2020,Unanswered,2,Customers Bank,22461,611620,,Unanswered,NY,Unanswered,11201
227037,42-19 Francis Lewis Lewis Blvd. LL,LIFEBRIDGE COMPREHENSIVE SERVICES INC-SBA SMALL 7A TERM,Corporation,NY-06,Bayside,5/1/2020,Unanswered,0,"TD Bank, National Association",64142,,,Unanswered,NY,Unanswered,11361
391878,"16 Bay st , Center Moriches , Ny, 11934",LOCAL LINK LLC,Limited  Liability Company(LLC),NY-01,Center Moriches,6/28/2020,Unanswered,1,MBE Capital Partners,11250,611513,,Unanswered,NY,Unanswered,11934
311492,227 LARK STREET,CAFE NATASIA INC,Subchapter S Corporation,NY-20,ALBANY,4/28/2020,Unanswered,4,Sunmark CU,22090,722511,,Unanswered,NY,Unanswered,12210
234886,2356 Rt 44/55,M.A.B. RESTAURANT GROUP INC,Corporation,NY-19,Gardiner,6/25/2020,Unanswered,0,New York Business Development Corporation,57500,722511,,Unanswered,NY,Unanswered,12525
309530,4587 LAKE SHORE DR,"BURKE BROTHERS BUILDERS, INC.",Corporation,NY-21,BOLTON LANDING,4/14/2020,Unanswered,5,Trustco Bank,22600,236115,,Unanswered,NY,Unanswered,12814
311561,71 MONTCALM STREET,CALDWELL PRESBYTERIAN CHURCH-SBA SMALL 7A TERM,Non-Profit Organization,NY-21,LAKE GEORGE,5/1/2020,Unanswered,0,"TD Bank, National Association",22065,813110,Y,Unanswered,NY,Unanswered,12845
434249,350 Main Street,"PREMIER PROCESS SERVICE OF WNY, INC",Corporation,NY-26,Buffalo,4/28/2020,Unanswered,1,Manufacturers and Traders Trust Company,6250,561611,,Unanswered,NY,Unanswered,14202
378978,45 Tennyson Terrace,GREENE PLUMBING & REMODELING INC.,Subchapter S Corporation,NY-26,Williamsville,5/5/2020,Unanswered,1,"Evans Bank, National Association",13000,238220,,Unanswered,NY,Unanswered,14221
360246,1335 ORCHARD PARK ROAD,DR. ROBERT T JENKINS GENERAL DENTISTRY,Sole Proprietorship,NY-26,BUFFALO,4/28/2020,Unanswered,3,KeyBank National Association,16000,621210,,Unanswered,NY,Unanswered,14224
262673,2640 Lake Road North,MANK BROTHERS TRUCKING AND EXCAVATING,Partnership,NY-25,HILTON,5/1/2020,Unanswered,2,Five Star Bank,40100,237310,,Unanswered,NY,Unanswered,14468
261371,1104 Lake Street,RT TENEYCK ENTERPRISES INC,Subchapter S Corporation,NY-23,Elmira,6/19/2020,Male Owned,,"Fundbox, Inc.",40807.75,812210,,Unanswered,NY,Unanswered,14901
